PQ Length,Time to Add,Total Time
1,0.0,0.0
2,0.002,0.005
3,0.0,0.007
4,0.002,0.012
5,0.0010000000000000009,0.014
6,0.0019999999999999983,0.018
7,0.0010000000000000009,0.021
8,0.0010000000000000009,0.024
9,0.0,0.026
10,0.0,0.029
11,0.0010000000000000009,0.033
12,0.0,0.035
13,0.0010000000000000009,0.04
14,0.0029999999999999957,0.045
15,0.0010000000000000009,0.046
16,0.0020000000000000018,0.05
17,0.0,0.052
18,0.0,0.055
19,0.000999999999999994,0.059
20,0.0010000000000000009,0.062
21,0.0030000000000000027,0.067
22,0.0010000000000000009,0.068
23,0.0010000000000000009,0.072
24,0.0010000000000000009,0.075
25,0.0010000000000000009,0.078
26,0.0,0.081
27,0.0010000000000000009,0.085
28,0.0010000000000000009,0.088
29,0.0010000000000000009,0.091
30,0.0020000000000000018,0.095
31,0.0010000000000000009,0.097
32,0.0020000000000000018,0.101
33,0.0010000000000000009,0.103
34,0.0010000000000000009,0.106
35,0.0030000000000000027,0.111
36,0.0030000000000000027,0.115
37,0.0010000000000000009,0.116
38,0.0010000000000000009,0.119
39,0.0010000000000000009,0.122
40,0.0020000000000000018,0.126
41,0.0020000000000000018,0.129
42,0.0020000000000000018,0.132
43,0.0010000000000000009,0.135
44,0.0010000000000000009,0.138
45,0.002999999999999975,0.143
46,0.0020000000000000018,0.145
47,0.0,0.146
48,0.0,0.149
49,0.0,0.152
50,0.0,0.155
51,0.0,0.159
52,0.0010000000000000009,0.163
53,0.0030000000000000027,0.168
54,0.0,0.168
55,0.001999999999999974,0.173
56,0.0020000000000000018,0.176
57,0.0010000000000000009,0.178
58,0.0020000000000000018,0.182
59,0.0030000000000000027,0.186
60,0.0010000000000000009,0.187
61,0.0030000000000000027,0.193
62,0.0020000000000000018,0.195
63,0.0,0.196
64,0.0020000000000000018,0.201
65,0.0010000000000000009,0.203
66,0.0020000000000000018,0.207
67,0.0020000000000000018,0.211
68,0.0020000000000000018,0.214
69,0.0,0.215
70,0.0010000000000000009,0.219
71,0.0020000000000000018,0.223
72,0.0010000000000000009,0.225
73,0.0,0.228
74,0.0020000000000000018,0.233
75,0.001999999999999974,0.236
76,0.0030000000000000027,0.24
77,0.0020000000000000018,0.243
78,0.0020000000000000018,0.247
79,0.0020000000000000018,0.25
80,0.0,0.251
81,0.0030000000000000027,0.257
82,0.0,0.257
83,0.0030000000000000027,0.263
84,0.0010000000000000009,0.264
85,0.013999999999999957,0.285
86,0.0020000000000000018,0.288
87,0.0030000000000000027,0.293
88,0.0020000000000000018,0.296
89,0.0,0.297
90,0.0020000000000000018,0.302
91,0.0020000000000000018,0.305
92,0.0020000000000000018,0.308
93,0.0020000000000000018,0.311
94,0.0010000000000000009,0.313
95,0.0,0.315
96,0.0020000000000000018,0.32
97,0.0,0.321
98,0.0030000000000000027,0.326
99,0.0030000000000000027,0.329
100,0.0030000000000000027,0.332
101,0.0010000000000000009,0.333
102,0.0020000000000000018,0.337
103,0.0,0.338
104,0.0010000000000000009,0.342
105,0.0020000000000000018,0.346
106,0.0020000000000000018,0.349
107,0.0010000000000000009,0.351
108,0.0020000000000000018,0.355
109,0.0010000000000000009,0.357
110,0.0020000000000000018,0.362
111,0.0020000000000000018,0.365
112,0.0020000000000000018,0.368
113,0.0020000000000000018,0.371
114,0.0030000000000000027,0.375
115,0.0010000000000000009,0.376
116,0.0,0.379
117,0.0030000000000000027,0.385
118,0.0,0.385
119,0.0020000000000000018,0.39
120,0.0010000000000000009,0.392
121,0.0010000000000000009,0.394
122,0.0,0.396
123,0.0,0.399
124,0.0010000000000000009,0.403
125,0.0019999999999999463,0.407
126,0.0020000000000000018,0.41
127,0.0020000000000000018,0.413
128,0.0020000000000000018,0.416
129,0.0020000000000000018,0.419
130,0.0,0.42
131,0.0010000000000000009,0.424
132,0.0,0.426
133,0.0020000000000000018,0.431
134,0.0010000000000000009,0.433
135,0.0010000000000000009,0.435
136,0.0030000000000000027,0.44
137,0.0,0.44
138,0.0010000000000000009,0.444
139,0.0020000000000000018,0.448
140,0.0010000000000000009,0.449
141,0.0010000000000000009,0.452
142,0.0020000000000000018,0.457
143,0.0030000000000000027,0.461
144,0.0010000000000000009,0.462
145,0.0010000000000000009,0.465
146,0.0,0.468
147,0.0040000000000000036,0.478
148,0.0020000000000000018,0.483
149,0.0010000000000000009,0.485
150,0.0,0.487
151,0.0020000000000000018,0.492
152,0.0020000000000000018,0.495
153,0.0020000000000000018,0.498
154,0.0020000000000000018,0.5
155,0.0030000000000000027,0.504
156,0.0020000000000000018,0.506
157,0.0010000000000000009,0.508
158,0.0020000000000000018,0.512
159,0.0,0.513
160,0.0010000000000000009,0.517
161,0.0030000000000000027,0.521
162,0.0010000000000000009,0.522
163,0.0010000000000000009,0.525
164,0.0,0.527
165,0.0010000000000000009,0.531
166,0.0020000000000000018,0.534
167,0.0010000000000000009,0.536
168,0.0010000000000000009,0.539
169,0.0030000000000000027,0.544
170,0.0020000000000000018,0.546
171,0.0,0.547
172,0.0030000000000000027,0.552
173,0.0,0.552
174,0.0030000000000000027,0.558
175,0.0020000000000000018,0.56
176,0.0,0.561
177,0.0020000000000000018,0.565
178,0.0020000000000000018,0.568
179,0.0030000000000000027,0.572
180,0.0010000000000000009,0.573
181,0.0020000000000000018,0.577
182,0.0,0.578
183,0.0,0.58
184,0.0010000000000000009,0.584
185,0.0020000000000000018,0.588
186,0.0010000000000000009,0.591
187,0.0010000000000000009,0.595
188,0.0010000000000000009,0.599
189,0.0010000000000000009,0.604
190,0.0,0.607
191,0.0,0.611
192,0.0,0.616
193,0.0020000000000000018,0.622
194,0.0020000000000000018,0.625
195,0.0020000000000000018,0.63
196,0.0050000000000000044,0.637
197,0.0030000000000000027,0.641
198,0.0030000000000000027,0.646
199,0.0010000000000000009,0.648
200,0.0020000000000000018,0.653
201,0.0010000000000000009,0.656
202,0.0020000000000000018,0.661
203,0.0020000000000000018,0.665
204,0.0010000000000000009,0.668
205,0.0020000000000000018,0.673
206,0.0,0.674
207,0.0030000000000000027,0.681
208,0.0030000000000000027,0.685
209,0.0039999999999998925,0.69
210,0.0020000000000000018,0.692
211,0.0010000000000000009,0.695
212,0.0,0.698
213,0.0030000000000000027,0.705
214,0.0020000000000000018,0.708
215,0.0020000000000000018,0.712
216,0.0020000000000000018,0.715
217,0.0020000000000000018,0.719
218,0.0010000000000000009,0.722
219,0.0,0.725
220,0.0010000000000000009,0.73
221,0.0020000000000000018,0.735
222,0.0,0.737
223,0.0010000000000000009,0.741
224,0.0030000000000000027,0.748
225,0.0040000000000000036,0.752
226,0.0010000000000000009,0.753
227,0.0010000000000000009,0.757
228,0.0030000000000000027,0.763
229,0.0010000000000000009,0.765
230,0.0030000000000000027,0.771
231,0.0020000000000000018,0.773
232,0.0,0.776
233,0.0030000000000000027,0.782
234,0.0030000000000000027,0.786
235,0.0020000000000000018,0.789
236,0.0020000000000000018,0.793
237,0.0030000000000000027,0.798
238,0.0030000000000000027,0.802
239,0.0010000000000000009,0.804
240,0.0020000000000000018,0.809
241,0.0010000000000000009,0.811
242,0.0030000000000000027,0.817
243,0.0020000000000000018,0.82
244,0.0020000000000000018,0.825
245,0.0020000000000000018,0.83
246,0.0030000000000000027,0.835
247,0.0030000000000000027,0.839
248,0.0010000000000000009,0.841
249,0.0,0.844
250,0.0010000000000000009,0.848
251,0.0,0.851
252,0.0020000000000000018,0.857
253,0.0010000000000000009,0.86
254,0.0010000000000000009,0.864
255,0.0030000000000000027,0.871
256,0.0010000000000000009,0.873
257,0.0010000000000000009,0.878
258,0.0040000000000000036,0.885
259,0.0030000000000000027,0.889
260,0.0030000000000000027,0.893
261,0.0030000000000000027,0.897
262,0.0030000000000000027,0.9
263,0.0010000000000000009,0.902
264,0.0010000000000000009,0.904
265,0.0010000000000000009,0.907
266,0.0010000000000000009,0.91
267,0.0010000000000000009,0.913
268,0.0020000000000000018,0.917
269,0.0010000000000000009,0.919
270,0.0010000000000000009,0.922
271,0.0020000000000000018,0.925
272,0.0010000000000000009,0.928
273,0.0020000000000000018,0.931
274,0.0020000000000000018,0.935
275,0.0020000000000000018,0.937
276,0.0010000000000000009,0.939
277,0.0,0.942
278,0.0020000000000000018,0.946
279,0.0020000000000000018,0.95
280,0.0030000000000000027,0.954
281,0.0,0.954
282,0.0030000000000000027,0.96
283,0.0020000000000000018,0.964
284,0.0020000000000000018,0.967
285,0.0020000000000000018,0.97
286,0.0020000000000000018,0.972
287,0.0020000000000000018,0.975
288,0.0,0.976
289,0.0,0.98
290,0.0020000000000000018,0.986
291,0.0020000000000000018,0.989
292,0.0020000000000000018,0.994
293,0.0010000000000000009,0.998
294,0.0030000000000001137,1.004
295,0.0020000000000000018,1.006
296,0.0020000000000000018,1.009
297,0.0009999999999998899,1.011
298,0.0020000000000000018,1.015
299,0.0009999999999998899,1.017
300,0.0,1.019
301,0.0030000000000001137,1.024
302,0.001000000000000112,1.026
303,0.0020000000000000018,1.029
304,0.0020000000000000018,1.032
305,0.001000000000000112,1.034
306,0.0009999999999998899,1.037
307,0.0,1.039
308,0.0009999999999998899,1.043
309,0.0020000000000000018,1.047
310,0.0020000000000000018,1.049
311,0.0009999999999998899,1.051
312,0.0030000000000001137,1.056
313,0.0009999999999998899,1.057
314,0.0,1.059
315,0.0,1.062
316,0.001000000000000112,1.066
317,0.0020000000000000018,1.069
318,0.0020000000000000018,1.072
319,0.001000000000000112,1.074
320,0.0,1.076
321,0.0020000000000000018,1.081
322,0.0009999999999998899,1.083
323,0.0020000000000000018,1.087
324,0.0009999999999998899,1.089
325,0.0009999999999998899,1.091
326,0.0020000000000000018,1.095
327,0.0009999999999998899,1.097
328,0.0020000000000000018,1.101
329,0.0,1.102
330,0.0020000000000000018,1.107
331,0.0020000000000000018,1.109
332,0.0009999999999998899,1.111
333,0.001000000000000112,1.114
334,0.0029999999999998916,1.119
335,0.0,1.119
336,0.0020000000000000018,1.123
337,0.0,1.124
338,0.0020000000000000018,1.129
339,0.0,1.13
340,0.0009999999999998899,1.134
341,0.001000000000000112,1.137
342,0.0009999999999998899,1.14
343,0.0020000000000000018,1.143
344,0.001000000000000112,1.145
345,0.0020000000000000018,1.149
346,0.0020000000000000018,1.152
347,0.0009999999999998899,1.154
348,0.0020000000000000018,1.157
349,0.001000000000000112,1.159
350,0.0009999999999998899,1.162
351,0.0030000000000001137,1.167
352,0.0020000000000000018,1.169
353,0.0009999999999998899,1.17
354,0.0020000000000000018,1.174
355,0.0,1.175
356,0.0030000000000001137,1.181
357,0.0009999999999998899,1.182
358,0.001000000000000112,1.185
359,0.0,1.186
360,0.0009999999999998899,1.19
361,0.0,1.192
362,0.0,1.195
363,0.001000000000000112,1.199
364,0.0020000000000000018,1.202
365,0.0029999999999998916,1.206
366,0.001000000000000112,1.207
367,0.0020000000000000018,1.211
368,0.0020000000000000018,1.214
369,0.0,1.215
370,0.0029999999999998916,1.22
371,0.0030000000000001137,1.223
372,0.0,1.223
373,0.001000000000000112,1.227
374,0.0020000000000000018,1.231
375,0.0009999999999998899,1.232
376,0.001000000000000112,1.235
377,0.0020000000000000018,1.239
378,0.0,1.24
379,0.0009999999999998899,1.244
380,0.0,1.246
381,0.001000000000000112,1.249
382,0.0020000000000000018,1.253
383,0.0009999999999998899,1.255
384,0.0020000000000000018,1.259
385,0.0020000000000000018,1.262
386,0.0,1.263
387,0.0020000000000000018,1.267
388,0.0020000000000000018,1.27
389,0.001000000000000112,1.272
390,0.001000000000000112,1.276
391,0.0020000000000000018,1.279
392,0.0040000000000000036,1.285
393,0.001000000000000112,1.286
394,0.0,1.288
395,0.0030000000000001137,1.294
396,0.0009999999999998899,1.295
397,0.0,1.297
398,0.0030000000000001137,1.302
399,0.0,1.302
400,0.001000000000000112,1.306
401,0.0020000000000000018,1.31
402,0.0030000000000001137,1.314
403,0.0009999999999998899,1.315
404,0.001000000000000112,1.318
405,0.0029999999999998916,1.323
406,0.001000000000000112,1.324
407,0.0020000000000000018,1.328
408,0.0029999999999998916,1.331
409,0.001000000000000112,1.332
410,0.0029999999999998916,1.337
411,0.0020000000000000018,1.34
412,0.0009999999999998899,1.341
413,0.0030000000000001137,1.346
414,0.001000000000000112,1.348
415,0.001000000000000112,1.35
416,0.0029999999999998916,1.355
417,0.001000000000000112,1.356
418,0.0,1.358
419,0.0020000000000000018,1.363
420,0.0020000000000000018,1.366
421,0.0,1.367
422,0.001000000000000112,1.37
