Year,Gold Average,Oil Average,S&P 500 9-Day Average,VVIX Average,Apple Average,Amazon Average,EMVIX Average,Gold Delta,Oil Delta,S&P 500 9-Day Delta,VVIX Delta,Apple Delta,Amazon Delta,EMVIX Delta
2006,0.0,0.0,0.0,88.16,0.0,0.0,0.0,0.0,0.0,0.0,88.16,0.0,0.0,0.0
2007,0.0,0.0,0.0,82.19,0.0,0.0,0.0,0.0,0.0,0.0,82.19,0.0,0.0,0.0
2008,0.0,0.0,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,85.6,0.0,0.0,0.0
2009,23.71,36.26,0.0,74.99,0.0,0.0,0.0,23.71,36.26,0.0,74.99,0.0,0.0,0.0
2010,19.53,29.48,0.0,86.36,0.0,0.0,0.0,19.53,29.48,0.0,86.36,0.0,0.0,0.0
2011,23.24,38.74,19.36,91.7,32.66,45.76,33.05,23.24,38.74,19.36,91.7,32.66,45.76,33.05
2012,14.38,28.45,20.27,92.5,43.44,42.07,23.88,14.38,28.45,20.27,92.5,43.44,42.07,23.88
2013,21.65,17.76,12.89,70.83,29.86,35.25,21.67,21.65,17.76,12.89,70.83,29.86,35.25,21.67
2014,20.08,50.24,13.65,113.08,30.26,38.15,20.9,20.08,50.24,13.65,113.08,30.26,38.15,20.9
2015,14.99,46.57,16.94,100.2,29.8,36.41,23.71,14.99,46.57,16.94,100.2,29.8,36.41,23.71
2016,16.23,30.83,11.73,91.6,21.96,28.51,21.22,16.23,30.83,11.73,91.6,21.96,28.51,21.22
2017,10.96,21.32,9.13,100.76,23.41,23.38,14.95,10.96,21.32,9.13,100.76,23.41,23.38,14.95
2018,13.48,51.87,31.72,87.11,43.14,49.52,25.17,13.48,51.87,31.72,87.11,43.14,49.52,25.17
2019,12.63,28.3,14.47,94.1,28.66,25.79,17.26,12.63,28.3,14.47,94.1,28.66,25.79,17.26
2020,20.79,37.83,21.29,111.86,35.05,36.64,22.62,20.79,37.83,21.29,111.86,35.05,36.64,22.62
2021,14.61,42.62,14.24,109.67,30.39,29.88,26.23,14.61,42.62,14.24,109.67,30.39,29.88,26.23
2022,16.25,41.26,21.75,77.05,41.82,50.56,29.3,16.25,41.26,21.75,77.05,41.82,50.56,29.3
2023,15.85,36.22,11.57,86.96,20.53,29.16,18.75,15.85,36.22,11.57,86.96,20.53,29.16,18.75
2024,14.35,25.82,11.55,77.06,26.27,40.1,18.08,14.35,25.82,11.55,77.06,26.27,40.1,18.08
