Year,Consumer Confidence,Consumer Confidence Delta
1992,140.3,0.0
1993,144.5,4.199999999999989
1994,148.2,3.6999999999999886
1995,152.4,4.200000000000017
1996,156.9,4.5
1997,160.5,3.5999999999999943
1998,163.0,2.5
1999,166.6,3.5999999999999943
2000,172.2,5.599999999999994
2001,177.1,4.900000000000006
2002,179.9,2.8000000000000114
2003,184.0,4.099999999999994
2004,188.9,4.900000000000006
2005,195.3,6.400000000000006
2006,201.6,6.299999999999983
2007,207.34,5.740000000000009
2008,215.3,7.960000000000008
2009,214.54,-0.7600000000000193
2010,218.06,3.5200000000000102
2011,224.94,6.8799999999999955
2012,229.59,4.650000000000006
2013,232.96,3.3700000000000045
2014,236.74,3.780000000000001
2015,237.02,0.28000000000000114
2016,240.01,2.9899999999999807
2017,245.12,5.110000000000014
2018,251.11,5.990000000000009
2019,255.66,4.549999999999983
2020,258.81,3.1500000000000057
2021,270.97,12.160000000000025
2022,292.66,21.689999999999998
2023,304.7,12.039999999999964
