Year,Average Median Price,Year-In Change,Average Interest Rate,Average Inflation Rate,Year-In Interest Rate Change,Year-In Inflation Rate Change,Average Business Loan Default Rate,Average All Loans Default Rate,Year-In Business Loan Default Change,Year-In All Loans Default Change,Consumer Confidence,Consumer Confidence Delta,Gold Average,Oil Average,S&P 500 9-Day Average,VVIX Average,Apple Average,Amazon Average,EMVIX Average,Gold Delta,Oil Delta,S&P 500 9-Day Delta,VVIX Delta,Apple Delta,Amazon Delta,EMVIX Delta,Economic Score
1982,0.5284895042323323,0.6179357282244033,1.0,0.9999999999999999,0.0,0.0,0.3623804056639877,0.34591126576772524,0.5052845528455285,0.35732628398791544,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.17818238425149158
1983,0.5284895042323323,0.6179357282244033,0.8513880685174247,0.41870661308001456,0.760517799352751,0.6233595800524934,0.3623804056639877,0.34591126576772524,0.5052845528455285,0.35732628398791544,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.07511049025954941
1984,0.5284895042323323,0.6179357282244033,0.957944477259303,0.5834855681402996,0.5177993527508092,0.727034120734908,0.3623804056639877,0.34591126576772524,0.5052845528455285,0.35732628398791544,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.05426016356208763
1985,0.5284895042323323,0.6179357282244033,0.8191376255168339,0.597734746072342,0.2135922330097088,0.6929133858267715,0.0,0.6237494562853414,0.5528455284552846,0.3746223564954685,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.13031765674118478
1986,0.5284895042323323,0.6179357282244033,0.5905493207324276,0.6080867129460481,0.23624595469255683,0.568241469816273,0.0,0.6159199652022618,0.5528455284552846,0.2628398791540788,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.19964458373163074
1987,0.5284895042323323,0.6179357282244033,0.6146485528647371,0.5083424674217514,0.8802588996763755,0.6299212598425196,1.0,0.7351022183558068,0.34146341463414653,0.2145015105740183,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,-0.03511554388330973
1988,0.5284895042323323,0.6179357282244033,0.6481984642646189,0.5475581536962612,0.5663430420711973,0.7086614173228346,0.8308457711442787,0.6550674206176599,0.2073170731707319,0.1812688821752267,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.05613662542596409
1989,0.5284895042323323,0.6179357282244033,0.6411104548139397,0.5758129338692,0.2944983818770227,0.6640419947506561,0.7952544967470342,0.6550674206176599,0.5121951219512197,0.3293051359516615,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.03690427220207826
1990,0.5284895042323323,0.6179357282244033,0.6292971057294743,0.6744610887833395,0.48543689320388367,0.7519685039370078,0.8515116724071948,0.7229230100043497,0.9999999999999998,0.6193353474320242,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,-0.162888433294351
1991,0.5284895042323323,0.6179357282244033,0.5746012994683992,0.6005358665205212,0.3980582524271846,0.46062992125984253,0.9548411787217758,0.839930404523706,0.44715447154471555,0.22658610271903343,0.41387811739659364,0.2626948775055685,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.6054074452263092,0.571844591235173,0.38255790801088474,0.4684023668639057,0.5297688281477174,0.5321244170552965,0.5044828409905247,0.031379830804248776
