Year,Average Business Loan Default Rate,Average All Loans Default Rate,Year-In Business Loan Default Change,Year-In All Loans Default Change
1985,0.0,4.8,0.0,-0.0699999999999994
1986,0.0,4.755,0.0,-0.4399999999999995
1987,6.5325,5.44,-0.5199999999999996,-0.5999999999999996
1988,5.4275,4.98,-0.8499999999999996,-0.71
1989,5.195,4.98,-0.09999999999999964,-0.22000000000000064
1990,5.5625,5.37,1.0999999999999996,0.7400000000000002
1991,6.2375,6.0425,-0.2599999999999998,-0.5599999999999996
1992,5.3149999999999995,5.2675,-1.0,-0.9299999999999997
1993,3.7699999999999996,4.0025,-1.3600000000000003,-1.3100000000000005
1994,2.3975,2.8074999999999997,-0.6099999999999999,-0.7800000000000002
1995,2.0900000000000003,2.5050000000000003,-0.050000000000000266,-0.1499999999999999
1996,2.02,2.435,-0.1100000000000001,-0.10000000000000009
1997,1.7825,2.2975000000000003,-0.19999999999999996,-0.16000000000000014
1998,1.7950000000000002,2.2125,0.06000000000000005,-0.06000000000000005
1999,2.005,2.1599999999999997,0.020000000000000018,-0.13000000000000034
2000,2.3,2.195,0.41000000000000014,0.29000000000000004
2001,3.0825,2.6125,0.8300000000000001,0.3799999999999999
2002,3.8424999999999994,2.69,0.18999999999999995,-0.10999999999999988
2003,3.3325,2.3274999999999997,-0.7999999999999998,-0.33000000000000007
2004,2.1799999999999997,1.795,-0.7499999999999998,-0.27
2005,1.5074999999999998,1.5675,-0.18000000000000016,-0.010000000000000009
2006,1.275,1.5725,-0.24,0.22999999999999998
2007,1.2225,2.055,0.1100000000000001,0.81
2008,1.8800000000000001,3.67,1.1,2.0000000000000004
2009,3.9025,6.5600000000000005,1.0999999999999996,1.7700000000000005
2010,3.46,6.9625,-0.96,-0.9900000000000002
2011,2.0100000000000002,5.8275,-0.8,-0.7199999999999998
2012,1.3399999999999999,5.0225,-0.3500000000000001,-0.6100000000000003
2013,1.0050000000000001,3.9625,-0.22000000000000008,-0.8700000000000001
2014,0.7975000000000001,2.9974999999999996,-0.18000000000000005,-0.5800000000000001
2015,0.87,2.34,0.27,-0.2699999999999996
2016,1.5675000000000001,2.0999999999999996,0.08000000000000007,-0.1200000000000001
2017,1.3325,1.85,-0.3500000000000001,-0.11999999999999988
2018,1.0300000000000002,1.6225,-0.17000000000000015,-0.17999999999999994
2019,1.11,1.4825,-0.06999999999999984,-0.08000000000000007
2020,1.2425,1.5599999999999998,0.1100000000000001,0.11999999999999988
2021,1.0925,1.3475000000000001,-0.04999999999999982,-0.16999999999999993
2022,1.0575,1.2149999999999999,-0.030000000000000027,0.0
2023,0.99,1.295,0.050000000000000044,0.19999999999999996
2024,1.13,1.44,0.1,0.02
